"nam","gender","year","tot","name_rank"
"Linda","M",1925,6,"3741"
"Linda","M",1929,7,"3247"
"Linda","M",1932,5,"3776"
"Linda","M",1933,9,"2542"
"Linda","M",1935,10,"2395"
"Linda","M",1936,9,"2451"
"Linda","M",1937,19,"1576"
"Linda","M",1938,28,"1247"
"Linda","M",1939,44,"941"
"Linda","M",1940,59,"810"
"Linda","M",1941,80,"684"
"Linda","M",1942,121,"559"
"Linda","M",1943,137,"537"
"Linda","M",1944,114,"574"
"Linda","M",1945,111,"577"
"Linda","M",1946,115,"601"
"Linda","M",1947,216,"457"
"Linda","M",1948,207,"463"
"Linda","M",1949,169,"511"
"Linda","M",1950,130,"599"
"Linda","M",1951,125,"630"
"Linda","M",1952,137,"603"
"Linda","M",1953,114,"666"
"Linda","M",1954,116,"669"
"Linda","M",1955,104,"715"
"Linda","M",1956,107,"710"
"Linda","M",1957,120,"695"
"Linda","M",1958,95,"760"
"Linda","M",1959,121,"700"
"Linda","M",1960,96,"775"
"Linda","M",1961,86,"825"
"Linda","M",1962,85,"825"
"Linda","M",1963,85,"821"
"Linda","M",1964,93,"782"
"Linda","M",1965,63,"929"
"Linda","M",1966,53,"998"
"Linda","M",1967,33,"1311"
"Linda","M",1968,41,"1185"
"Linda","M",1969,49,"1110"
"Linda","M",1970,39,"1336"
"Linda","M",1971,27,"1706"
"Linda","M",1972,33,"1473"
"Linda","M",1973,20,"2036"
"Linda","M",1974,21,"2050"
"Linda","M",1975,20,"2205"
"Linda","M",1976,12,"3094"
"Linda","M",1977,22,"2130"
"Linda","M",1978,15,"2798"
"Linda","M",1979,16,"2776"
"Linda","M",1980,18,"2619"
"Linda","M",1981,15,"2897"
"Linda","M",1982,19,"2518"
"Linda","M",1983,24,"2139"
"Linda","M",1984,12,"3456"
"Linda","M",1985,12,"3599"
"Linda","M",1986,21,"2510"
"Linda","M",1987,15,"3200"
"Linda","M",1988,9,"4785"
"Linda","M",1989,17,"3325"
"Linda","M",1990,11,"4673"
"Linda","M",1991,10,"5093"
"Linda","M",1992,12,"4565"
"Linda","M",1993,7,"6812"
"Linda","M",1994,11,"5109"
