"nam","year","tot"
"Mary",1880,7065
"Mary",1881,6919
"Mary",1882,8148
"Mary",1883,8012
"Mary",1884,9217
"Mary",1885,9128
"Mary",1886,9889
"Mary",1887,9888
"Mary",1888,11754
"Mary",1889,11648
"Mary",1890,12078
"Mary",1891,11703
"Mary",1892,13172
"Mary",1893,12784
"Mary",1894,13151
"Mary",1895,13447
"Mary",1896,13811
"Mary",1897,13413
"Mary",1898,14406
"Mary",1899,13172
"Mary",1900,16705
"Mary",1901,13136
"Mary",1902,14486
"Mary",1903,14275
"Mary",1904,14961
"Mary",1905,16067
"Mary",1906,16370
"Mary",1907,17580
"Mary",1908,18665
"Mary",1909,19259
"Mary",1910,22848
"Mary",1911,24390
"Mary",1912,32304
"Mary",1913,36642
"Mary",1914,45346
"Mary",1915,58187
"Mary",1916,61438
"Mary",1917,64280
"Mary",1918,67365
"Mary",1919,65837
"Mary",1920,70983
"Mary",1921,73984
"Mary",1922,72176
"Mary",1923,71635
"Mary",1924,73534
"Mary",1925,70587
"Mary",1926,67833
"Mary",1927,70641
"Mary",1928,66870
"Mary",1929,63512
"Mary",1930,64152
"Mary",1931,60297
"Mary",1932,59879
"Mary",1933,55518
"Mary",1934,56933
"Mary",1935,55073
"Mary",1936,54374
"Mary",1937,55643
"Mary",1938,56216
"Mary",1939,54902
"Mary",1940,56213
"Mary",1941,58045
"Mary",1942,63254
"Mary",1943,66179
"Mary",1944,62470
"Mary",1945,59280
"Mary",1946,67470
"Linda",1947,99693
"Linda",1948,96215
"Linda",1949,91017
"Linda",1950,80431
"Linda",1951,73981
"Linda",1952,67080
"Mary",1953,64388
"Mary",1954,68022
"Mary",1955,63173
"Mary",1956,61743
"Mary",1957,61106
"Mary",1958,55846
"Mary",1959,54492
"Mary",1960,51481
"Mary",1961,47677
"Lisa",1962,46073
"Lisa",1963,56035
"Lisa",1964,54270
"Lisa",1965,60267
"Lisa",1966,56918
"Lisa",1967,52436
"Lisa",1968,49537
"Lisa",1969,45025
"Jennifer",1970,46153
"Jennifer",1971,56775
"Jennifer",1972,63602
"Jennifer",1973,62446
"Jennifer",1974,63110
"Jennifer",1975,58188
"Jennifer",1976,59474
"Jennifer",1977,58964
"Jennifer",1978,56323
"Jennifer",1979,56718
"Jennifer",1980,58381
"Jennifer",1981,57048
"Jennifer",1982,57119
"Jennifer",1983,54350
"Jennifer",1984,50561
"Jessica",1985,48346
"Jessica",1986,52682
"Jessica",1987,55996
"Jessica",1988,51552
"Jessica",1989,47889
"Jessica",1990,46478
"Ashley",1991,43480
"Ashley",1992,38458
"Jessica",1993,34990
"Jessica",1994,32122
"Jessica",1995,27939
"Emily",1996,25151
"Emily",1997,25735
"Emily",1998,26185
"Emily",1999,26539
"Emily",2000,25957
"Emily",2001,25059
"Emily",2002,24468
"Emily",2003,25691
"Emily",2004,25040
"Emily",2005,23949
"Emily",2006,21410
"Emily",2007,19359
"Emma",2008,18823
"Isabella",2009,22316
"Isabella",2010,22929
"Sophia",2011,21856
"Sophia",2012,22325
"Sophia",2013,21244
"Emma",2014,20958
"Emma",2015,20478
"Emma",2016,19536
"Emma",2017,19857
"Emma",2018,18801
"Olivia",2019,18549
"Olivia",2020,17664
"Olivia",2021,17798
"Olivia",2022,16573
